,CEP Estab
10982,51160280
11002,50020000
11017,55150005
11072,55297020
11097,53370285
11100,50060080
11107,55815000
11149,50610330
11166,53110680
11188,52011270
11192,53110780
11212,50721110
11230,53401160
11231,50010904
11245,56130000
11252,50040090
11308,51160210
11336,50020050
11359,55865000
11364,52130547
11406,50870280
11431,51021330
11482,55602010
11514,50050290
11515,54310335
11564,55645000
11568,54360020
11569,52170640
11575,52061030
11677,56840000
11681,55296250
11707,53620444
11717,54350005
11718,54503010
11719,51350030
11726,50720120
11734,54360000
11774,54430331
11783,50060004
11788,52031125
11798,51170060
11813,54518430
11827,54120000
11834,51030000
11867,55016410
11882,54470100
11945,52021000
11947,51010070
11967,51010730
11976,52091095
12018,55295060
12021,50030908
12023,54310051
12027,50720655
12040,55645220
12079,56163000
12084,50920722
12094,55012040
12108,55604200
12121,53407265
12142,54315030
12165,55014545
12204,50080810
12248,51020300
12252,52490570
12276,50860240
12284,52041260
12311,55294273
12313,50960090
12315,50610250
12331,55405000
12358,56460000
12381,55002970
12386,56360000
12390,55294440
12403,55034640
12410,52040252
12436,50680160
12491,55195000
12494,51020240
12526,52171010
12533,52210000
12557,54762303
12579,52010060
12608,55845000
12610,51020030
12660,50020080
12676,55012330
12687,52070070
12718,53620856
12719,50010340
12721,51190660
12727,54515573
12746,54500990
12763,52041735
12795,50050903
12796,55613000
12829,55157010
12830,55150080
12920,53403290
12937,53130550
12945,56906260
13005,55040120
13017,50741520
13045,52011090
13062,55014470
13071,50730120
13075,54503410
13076,54420010
13094,50070250
13146,53150590
13225,53520015
13272,52091530
13275,51020021
13326,53435600
13327,53060775
13331,56355000
13370,50010900
13393,50770000
13413,53300240
13442,54325610
13445,54350714
13519,52191040
13552,53120130
13585,50770020
13586,54400090
13602,56760000
13603,56740000
13617,50070270
13627,55004901
13666,56903490
13668,56912260
13740,55260000
13744,56906010
13746,56912225
13794,52030215
13800,50050315
13838,51180020
13872,55815060
13932,52010120
13985,55415000
14009,50050130
14049,54440290
14050,55641150
14054,56895000
